sample-id	forward-absolute-filepath	reverse-absolute-filepath
IowaWound.Human.994	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.994_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.994_2.fastq.gz
IowaWound.Human.995	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.995_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.995_2.fastq.gz
IowaWound.Human.1005	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1005_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1005_2.fastq.gz
IowaWound.Human.1009	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1009_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1009_2.fastq.gz
IowaWound.Human.1011	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1011_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1011_2.fastq.gz
IowaWound.Human.1015	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1015_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1015_2.fastq.gz
IowaWound.Human.1021	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1021_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1021_2.fastq.gz
IowaWound.Human.1022	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1022_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1022_2.fastq.gz
IowaWound.Human.1030	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1030_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1030_2.fastq.gz
IowaWound.Human.1033	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1033_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1033_2.fastq.gz
IowaWound.Human.1035	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1035_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1035_2.fastq.gz
IowaWound.Human.1036	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1036_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1036_2.fastq.gz
IowaWound.Human.1038	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1038_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1038_2.fastq.gz
IowaWound.Human.1039	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1039_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1039_2.fastq.gz
IowaWound.Human.1040	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1040_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1040_2.fastq.gz
IowaWound.Human.1042	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1042_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1042_2.fastq.gz
IowaWound.Human.1046	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1046_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1046_2.fastq.gz
IowaWound.Human.1052	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1052_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1052_2.fastq.gz
IowaWound.Human.1055	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1055_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1055_2.fastq.gz
IowaWound.Human.1056	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1056_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1056_2.fastq.gz
IowaWound.Human.1068	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1068_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1068_2.fastq.gz
IowaWound.Human.1074	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1074_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1074_2.fastq.gz
IowaWound.Human.1084	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1084_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1084_2.fastq.gz
IowaWound.Human.1085	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1085_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1085_2.fastq.gz
IowaWound.Human.1086	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1086_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1086_2.fastq.gz
IowaWound.Human.1091	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1091_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1091_2.fastq.gz
IowaWound.Human.1101	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1101_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1101_2.fastq.gz
IowaWound.Human.1104	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1104_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1104_2.fastq.gz
IowaWound.Human.1106	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1106_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1106_2.fastq.gz
IowaWound.Human.1107	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1107_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1107_2.fastq.gz
IowaWound.Human.1110	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1110_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1110_2.fastq.gz
IowaWound.Human.1114	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1114_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1114_2.fastq.gz
IowaWound.Human.1115	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1115_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1115_2.fastq.gz
IowaWound.Human.1116	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1116_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1116_2.fastq.gz
IowaWound.Human.1119	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1119_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1119_2.fastq.gz
IowaWound.Human.1121	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1121_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1121_2.fastq.gz
IowaWound.Human.1123	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1123_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1123_2.fastq.gz
IowaWound.Human.1130	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1130_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1130_2.fastq.gz
IowaWound.Human.1132	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1132_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1132_2.fastq.gz
IowaWound.Human.1134	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1134_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1134_2.fastq.gz
IowaWound.Human.1141	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1141_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1141_2.fastq.gz
IowaWound.Human.1144	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1144_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1144_2.fastq.gz
IowaWound.Human.1145	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1145_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1145_2.fastq.gz
IowaWound.Human.1147	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1147_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1147_2.fastq.gz
IowaWound.Human.1149	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1149_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1149_2.fastq.gz
IowaWound.Human.1153	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1153_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1153_2.fastq.gz
IowaWound.Human.1158	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1158_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1158_2.fastq.gz
IowaWound.Human.1161	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1161_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1161_2.fastq.gz
IowaWound.Human.1162	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1162_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1162_2.fastq.gz
IowaWound.Human.1171	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1171_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1171_2.fastq.gz
IowaWound.Human.1174	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1174_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1174_2.fastq.gz
IowaWound.Human.1176	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1176_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1176_2.fastq.gz
IowaWound.Human.1179	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1179_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1179_2.fastq.gz
IowaWound.Human.1184	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1184_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1184_2.fastq.gz
IowaWound.Human.1185	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1185_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1185_2.fastq.gz
IowaWound.Human.1188	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1188_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1188_2.fastq.gz
IowaWound.Human.1189	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1189_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1189_2.fastq.gz
IowaWound.Human.1195	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1195_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1195_2.fastq.gz
IowaWound.Human.1199	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1199_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1199_2.fastq.gz
IowaWound.Human.1202	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1202_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1202_2.fastq.gz
IowaWound.Human.1203	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1203_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1203_2.fastq.gz
IowaWound.Human.1208	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1208_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.1208_2.fastq.gz
